,x,y,z
0,-9.766776,0.804092,0.990406
1,-9.747164,0.794286,0.9806
2,-9.747164,0.794286,0.9806
3,-9.75697,0.794286,0.990406
4,-9.75697,0.813898,0.990406
5,-9.727552,0.794286,0.9806
6,-9.75697,0.73545,0.9806
7,-9.737358,0.774674,0.9806
8,-9.737358,0.794286,0.9806
9,-9.747164,0.804092,0.9806
10,-9.747164,0.774674,0.970794
11,-9.747164,0.794286,0.970794
12,-9.747164,0.794286,0.9806
13,-9.75697,0.804092,0.970794
14,-9.75697,0.78448,0.9806
15,-9.727552,0.794286,0.970794
16,-9.737358,0.804092,0.9806
17,-9.727552,0.774674,0.9806
18,-9.75697,0.78448,0.970794
19,-9.75697,0.83351,0.960988
20,-9.737358,0.794286,0.970794
21,-9.75697,0.78448,0.921764
22,-9.737358,0.794286,0.941376
23,-9.75697,0.83351,0.960988
24,-9.747164,0.813898,0.902152
25,-9.75697,0.823704,0.921764
26,-9.747164,0.794286,0.93157
27,-9.747164,0.843316,0.921764
28,-9.717746,0.804092,0.951182
29,-9.776582,0.804092,0.892346
30,-9.75697,0.83351,0.911958
31,-9.727552,0.88254,0.93157
32,-9.747164,0.83351,0.88254
33,-9.747164,0.823704,0.902152
34,-9.776582,0.88254,0.911958
35,-9.766776,0.872734,0.93157
36,-9.737358,0.83351,0.872734
37,-9.766776,0.862928,0.911958
38,-9.747164,0.88254,0.93157
39,-9.737358,0.872734,0.921764
40,-9.717746,0.892346,0.902152
41,-9.737358,0.902152,0.892346
42,-9.737358,0.911958,0.911958
43,-9.75697,0.9806,0.911958
44,-9.717746,0.892346,0.921764
45,-9.766776,0.902152,0.872734
46,-9.766776,0.9806,0.921764
47,-9.766776,1.010018,0.960988
48,-9.776582,0.921764,0.843316
49,-9.806,0.88254,0.902152
50,-9.75697,0.88254,0.872734
51,-9.766776,1.010018,0.804092
52,-9.835418,0.960988,0.892346
53,-9.913866,0.83351,0.960988
54,-9.835418,0.755062,0.823704
55,-9.845224,0.813898,1.000212
56,-9.727552,0.627584,0.941376
57,-9.796194,0.745256,0.862928
58,-9.747164,0.93157,0.970794
59,-9.531432,1.196332,1.294392
60,-9.60988,1.294392,1.66702
61,-9.60988,1.500318,2.10829
62,-9.384342,1.66702,2.284798
63,-8.982296,1.451288,2.50053
64,-8.72734,2.069066,2.677038
65,-7.001484,1.66702,3.38307
66,-5.648256,2.333828,3.755698
67,-4.795134,2.40247,3.745892
68,-6.589632,0.755062,0.470688
69,-8.62928,1.921976,3.412488
