,x,y,z
0,1.000212,9.747164,-0.68642
1,1.049242,9.776582,-0.63739
2,1.000212,9.75697,-0.617778
3,1.098272,9.747164,-0.68642
4,1.059048,9.776582,-0.666808
5,1.049242,9.717746,-0.696226
6,1.02963,9.75697,-0.68642
7,1.059048,9.717746,-0.666808
8,1.088466,9.766776,-0.676614
9,1.049242,9.747164,-0.676614
10,1.088466,9.717746,-0.627584
11,1.07866,9.786388,-0.676614
12,1.068854,9.75697,-0.676614
13,1.059048,9.75697,-0.706032
14,1.068854,9.786388,-0.706032
15,1.137496,9.727552,-0.696226
16,1.059048,9.786388,-0.676614
17,1.108078,9.766776,-0.676614
18,1.068854,9.766776,-0.666808
19,1.284586,9.717746,-0.706032
20,0.960988,9.776582,-0.617778
21,0.970794,9.786388,-0.617778
22,1.068854,9.796194,-0.549136
23,1.166914,9.737358,-0.68642
24,1.12769,9.727552,-0.715838
25,1.098272,9.698134,-0.715838
26,1.02963,9.766776,-0.676614
27,0.9806,9.776582,-0.696226
28,1.117884,9.766776,-0.725644
29,1.166914,9.737358,-0.755062
30,1.098272,9.70794,-0.764868
31,1.108078,9.737358,-0.706032
32,1.108078,9.766776,-0.696226
33,1.117884,9.737358,-0.715838
34,1.088466,9.727552,-0.696226
35,1.157108,9.737358,-0.745256
36,1.147302,9.747164,-0.755062
37,1.117884,9.737358,-0.73545
38,1.098272,9.747164,-0.725644
39,1.137496,9.737358,-0.745256
40,1.17672,9.737358,-0.764868
41,1.157108,9.747164,-0.764868
42,1.108078,9.737358,-0.73545
43,1.117884,9.737358,-0.755062
44,1.108078,9.75697,-0.715838
45,1.108078,9.70794,-0.715838
46,1.147302,9.766776,-0.745256
47,1.147302,9.717746,-0.745256
48,1.157108,9.727552,-0.794286
49,1.117884,9.717746,-0.78448
50,1.12769,9.727552,-0.764868
51,1.098272,9.737358,-0.774674
52,1.108078,9.727552,-0.755062
53,1.22575,9.698134,-0.794286
54,1.166914,9.717746,-0.764868
55,1.186526,9.717746,-0.823704
56,1.186526,9.717746,-0.823704
57,1.235556,9.717746,-0.843316
58,1.27478,9.688328,-0.853122
59,1.314004,9.688328,-0.843316
60,1.235556,9.70794,-0.804092
61,1.07866,9.698134,-0.774674
62,1.049242,9.727552,-0.745256
63,1.137496,9.678522,-0.764868
64,1.12769,9.75697,-0.73545
65,1.108078,9.668716,-0.78448
66,1.343422,9.786388,-0.902152
67,1.500318,9.649104,-1.059048
68,1.61799,9.668716,-1.166914
69,1.56896,9.521626,-1.264974
70,1.637602,9.502014,-1.32381
71,1.76508,9.423566,-1.402258
72,1.81411,9.482402,-1.42187
73,2.01023,9.354924,-1.480706
74,1.872946,9.423566,-1.539542
75,2.01023,9.492208,-1.510124
76,2.118096,9.237252,-1.578766
77,2.098484,9.256864,-1.510124
78,2.118096,9.16861,-1.598378
79,2.422082,8.982296,-1.71605
80,2.529948,8.77637,-1.843528
81,3.265398,9.247058,-2.35344
82,3.588996,9.46279,-2.324022
83,1.823916,8.295876,-2.118096
84,0.9806,5.648256,-0.804092
85,0.578554,8.560638,-2.981024
86,0.73545,10.7866,0.235344
87,3.030054,11.678946,-0.303986
88,1.42187,8.756758,2.64762
89,-3.324234,5.716898,0.68642
90,-0.019612,10.88466,-1.784692
91,7.423142,18.592176,-3.951818
92,5.98166,12.532068,4.36367
93,1.892558,5.089314,8.18801
94,4.226386,4.697074,3.736086
95,-1.559154,4.549984,6.540602
96,0.14709,5.206986,6.76614
97,2.098484,12.55168,7.580038
98,1.794498,9.806,1.206138
99,3.020248,13.247906,0.274568
100,1.657214,10.080568,0.549136
101,3.167338,9.07055,1.794498
102,4.95203,7.962472,0.019612
103,4.295028,8.894042,3.951818
104,5.765928,9.433372,0.303986
105,3.373264,9.70794,1.363034
106,6.285646,9.580462,0.156896
107,3.314428,10.178628,1.255168
108,4.75591,9.02152,0.617778
109,3.059472,9.158804,0.951182
110,3.549772,9.178416,1.02963
111,3.020248,9.16861,0.93157
112,3.049666,9.16861,1.245362
113,2.79471,9.148998,1.17672
114,2.931994,9.345118,1.539542
115,2.755486,9.26667,1.382646
116,2.569172,9.36473,1.480706
117,2.833934,9.335312,1.284586
118,2.324022,9.472596,1.657214
119,2.775098,9.698134,1.608184
120,2.4515,9.590268,1.980812
121,2.735874,9.433372,1.637602
122,2.54956,9.158804,1.725856
123,2.618202,9.139192,1.882752
124,2.99083,9.060744,1.823916
125,2.588784,9.237252,1.902364
126,2.74568,9.423566,1.71605
127,2.804516,9.65891,1.578766
128,2.628008,9.21764,1.892558
129,2.716262,9.394148,1.696438
130,2.559366,9.384342,1.696438
131,2.765292,9.296088,1.627796
132,2.539754,9.482402,1.784692
133,2.373052,9.492208,1.755274
134,2.4515,9.492208,1.76508
135,2.461306,9.325506,1.353228
136,2.40247,9.384342,1.774886
137,2.35344,9.345118,1.823916
138,2.412276,9.521626,1.696438
139,2.363246,9.492208,1.510124
140,2.50053,9.21764,1.61799
141,2.520142,9.41376,1.676826
142,2.804516,9.678522,1.559154
143,2.422082,9.207834,1.91217
144,2.578978,9.46279,1.735662
145,2.392664,9.296088,1.784692
146,2.490724,9.256864,1.804304
147,2.412276,9.325506,1.980812
148,2.64762,9.354924,1.794498
149,2.25538,9.629492,1.971006
150,2.4515,9.374536,1.804304
151,2.431888,9.374536,1.921976
152,2.431888,9.492208,1.931782
153,2.471112,9.394148,2.000424
154,2.412276,9.305894,1.980812
155,2.235768,9.492208,1.941588
156,2.569172,9.443178,1.882752
157,2.480918,9.296088,1.833722
158,2.559366,9.521626,1.921976
159,2.559366,9.521626,1.921976
160,2.559366,9.335312,1.794498
161,2.235768,9.374536,2.10829
162,2.529948,9.305894,1.882752
163,2.167126,9.36473,2.225962
164,2.608396,9.394148,1.804304
165,2.588784,9.472596,2.039648
166,2.54956,9.433372,2.01023
167,2.490724,9.551044,2.049454
168,2.520142,9.178416,2.029842
169,2.529948,9.41376,1.833722
170,2.608396,9.139192,1.971006
171,2.520142,9.227446,2.029842
172,2.363246,9.247058,2.186738
173,2.461306,9.433372,1.9612
174,2.471112,9.354924,2.078872
175,2.431888,9.345118,2.10829
176,2.559366,9.443178,1.833722
177,2.480918,9.433372,1.980812
178,2.569172,9.3157,1.853334
179,2.373052,9.247058,1.902364
180,2.520142,9.36473,1.872946
181,2.539754,9.335312,1.853334
182,2.373052,9.472596,2.049454
183,2.382858,9.335312,1.980812
184,2.422082,9.46279,2.000424
185,2.35344,9.247058,1.951394
186,2.50053,9.541238,1.931782
187,2.324022,9.443178,2.01023
188,2.50053,9.433372,1.921976
189,2.64762,9.374536,1.706244
190,2.363246,9.374536,2.039648
191,2.461306,9.247058,1.833722
192,2.431888,9.325506,1.990618
193,2.4515,9.335312,1.921976
194,2.30441,9.354924,2.05926
195,2.4515,9.423566,1.902364
196,2.529948,9.443178,1.882752
197,2.539754,9.51182,1.892558
198,2.480918,9.41376,1.931782
199,2.529948,9.423566,2.000424
200,2.539754,9.354924,1.951394
201,2.333828,9.247058,2.118096
202,2.480918,9.188222,2.078872
203,2.422082,9.354924,2.049454
204,2.4515,9.325506,2.049454
205,2.382858,9.443178,2.265186
206,2.588784,9.41376,1.86314
207,2.324022,9.433372,2.25538
208,2.804516,9.423566,1.794498
209,2.235768,9.41376,2.343634
210,2.618202,9.36473,1.91217
211,2.225962,9.26667,2.10829
212,2.480918,9.207834,1.971006
213,2.529948,9.296088,1.86314
214,2.59859,9.3157,1.9612
215,2.529948,9.354924,2.029842
216,2.667232,9.384342,1.735662
217,2.480918,9.423566,2.118096
218,2.382858,9.374536,1.823916
219,2.225962,9.492208,2.54956
220,2.382858,9.433372,1.971006
221,2.294604,9.443178,2.294604
222,2.431888,9.296088,1.971006
223,2.588784,9.139192,1.931782
224,2.363246,9.305894,1.9612
225,2.569172,9.374536,1.951394
226,2.35344,9.443178,1.892558
227,2.559366,9.26667,1.941588
228,2.50053,9.403954,1.774886
229,2.510336,9.443178,2.137708
230,2.373052,9.46279,1.951394
231,2.35344,9.472596,2.284798
232,2.30441,9.384342,1.76508
233,2.422082,9.345118,2.088678
234,2.480918,9.26667,1.784692
235,2.40247,9.36473,2.088678
236,2.441694,9.296088,1.804304
237,2.431888,9.56085,1.941588
238,2.69665,9.237252,1.755274
239,2.176932,9.403954,2.265186
