,x,y,z
0,7.884024,-2.99083,5.285434
1,7.89383,-2.971218,5.275628
2,7.89383,-3.000636,5.285434
3,7.864412,-2.99083,5.29524
4,7.884024,-2.99083,5.29524
5,7.874218,-2.981024,5.305046
6,7.884024,-2.99083,5.265822
7,7.89383,-2.99083,5.275628
8,7.874218,-2.99083,5.29524
9,7.884024,-2.99083,5.275628
10,7.89383,-2.99083,5.275628
11,7.884024,-2.981024,5.275628
12,7.874218,-2.961412,5.29524
13,7.884024,-3.010442,5.285434
14,7.874218,-2.981024,5.29524
15,7.884024,-3.000636,5.285434
16,7.89383,-3.000636,5.265822
17,7.8448,-2.981024,5.275628
18,7.874218,-2.99083,5.314852
19,7.864412,-2.89277,5.226598
20,7.8448,-3.030054,5.334464
21,7.94286,-2.961412,5.236404
22,7.952666,-2.931994,5.187374
23,7.933054,-2.981024,5.206986
24,7.913442,-2.99083,5.275628
25,7.864412,-3.010442,5.265822
26,7.933054,-2.99083,5.216792
27,7.94286,-3.000636,5.226598
28,7.884024,-2.981024,5.256016
29,7.8448,-2.971218,5.29524
30,7.8448,-3.03986,5.324658
31,7.89383,-2.961412,5.236404
32,7.962472,-3.03986,5.206986
33,7.952666,-3.000636,5.19718
34,7.903636,-3.010442,5.226598
35,7.89383,-3.010442,5.256016
36,7.913442,-3.000636,5.216792
37,7.933054,-3.020248,5.24621
38,7.79577,-3.079084,5.29524
39,7.8448,-3.059472,5.275628
40,7.952666,-2.84374,5.216792
41,7.952666,-2.882964,5.216792
42,8.011502,-2.863352,5.128538
43,7.952666,-3.13792,5.285434
44,7.776158,-3.118308,5.34427
45,7.638874,-3.147726,5.373688
46,7.785964,-3.03986,5.34427
47,7.94286,-2.951606,5.285434
48,7.903636,-2.912382,5.236404
49,7.903636,-3.020248,5.265822
50,7.884024,-3.010442,5.236404
51,7.89383,-3.020248,5.236404
52,7.952666,-3.000636,5.236404
53,7.933054,-2.951606,5.226598
54,7.874218,-3.030054,5.285434
55,7.854606,-2.99083,5.285434
56,7.834994,-3.020248,5.314852
57,7.864412,-3.010442,5.285434
58,7.903636,-2.99083,5.236404
59,7.903636,-3.000636,5.29524
60,8.011502,-3.108502,5.138344
61,7.903636,-2.89277,5.108926
62,7.785964,-3.000636,5.256016
63,7.805576,-2.961412,5.29524
64,7.511396,-2.882964,5.167762
65,7.79577,-3.079084,5.412912
66,7.864412,-3.03986,5.09912
67,7.903636,-2.951606,5.167762
68,7.982084,-3.108502,5.206986
69,7.923248,-3.128114,5.138344
70,7.972278,-3.157532,5.354076
71,7.668292,-2.971218,5.432524
72,7.884024,-3.059472,5.756122
73,7.45256,-2.931994,5.854182
74,7.55062,-3.03986,5.873794
75,7.74674,-3.147726,5.756122
76,7.64868,-3.353652,5.618838
77,7.74674,-3.245786,5.510972
78,7.462366,-3.128114,5.677674
79,7.246634,-3.33404,5.775734
80,7.079932,-3.471324,6.118944
81,6.795558,-3.706668,6.011078
82,6.81517,-3.461518,6.099332
83,7.393724,-3.157532,6.315064
84,7.030902,-3.745892,6.334676
85,7.285858,-4.187162,5.765928
86,7.099544,-3.961624,5.922824
