,x,y,z
0,7.50159,4.138132,5.187374
1,7.531008,4.157744,5.187374
2,7.511396,4.138132,5.187374
3,7.50159,4.147938,5.187374
4,7.521202,4.157744,5.19718
5,7.491784,4.157744,5.177568
6,7.50159,4.147938,5.177568
7,7.531008,4.138132,5.19718
8,7.511396,4.138132,5.177568
9,7.521202,4.147938,5.177568
10,7.521202,4.157744,5.187374
11,7.511396,4.147938,5.19718
12,7.511396,4.147938,5.19718
13,7.511396,4.147938,5.187374
14,7.511396,4.147938,5.19718
15,7.521202,4.147938,5.187374
16,7.50159,4.138132,5.187374
17,7.521202,4.138132,5.187374
18,7.50159,4.157744,5.19718
19,7.531008,4.147938,5.19718
20,7.521202,4.128326,5.187374
21,7.481978,4.11852,5.177568
22,7.531008,4.157744,5.206986
23,7.50159,4.147938,5.19718
24,7.50159,4.138132,5.177568
25,7.531008,4.128326,5.19718
26,7.521202,4.128326,5.19718
27,7.531008,4.138132,5.187374
28,7.521202,4.147938,5.19718
29,7.511396,4.138132,5.187374
30,7.511396,4.138132,5.187374
31,7.521202,4.138132,5.187374
32,7.511396,4.138132,5.19718
33,7.521202,4.138132,5.19718
34,7.521202,4.138132,5.187374
35,7.511396,4.138132,5.206986
36,7.511396,4.157744,5.19718
37,7.511396,4.11852,5.187374
38,7.55062,4.157744,5.19718
39,7.472172,4.098908,5.177568
40,7.511396,4.147938,5.19718
41,7.511396,4.147938,5.206986
42,7.481978,4.147938,5.177568
43,7.511396,4.138132,5.206986
44,7.531008,4.128326,5.19718
45,7.50159,4.138132,5.177568
46,7.531008,4.147938,5.187374
47,7.521202,4.147938,5.187374
48,7.511396,4.147938,5.187374
49,7.521202,4.147938,5.19718
50,7.521202,4.147938,5.187374
51,7.521202,4.157744,5.187374
52,7.511396,4.157744,5.187374
53,7.511396,4.138132,5.187374
54,7.511396,4.177356,5.187374
55,7.521202,4.147938,5.187374
56,7.521202,4.177356,5.177568
57,7.481978,4.128326,5.187374
58,7.531008,4.177356,5.206986
59,7.511396,4.16755,5.19718
60,7.491784,4.157744,5.177568
61,7.511396,4.157744,5.19718
62,7.511396,4.138132,5.19718
63,7.521202,4.157744,5.167762
64,7.521202,4.157744,5.187374
65,7.511396,4.157744,5.177568
66,7.511396,4.157744,5.187374
67,7.511396,4.147938,5.187374
68,7.50159,4.157744,5.187374
69,7.511396,4.157744,5.187374
70,7.521202,4.147938,5.19718
71,7.511396,4.16755,5.177568
72,7.50159,4.128326,5.187374
73,7.540814,4.16755,5.187374
74,7.50159,4.128326,5.177568
75,7.511396,4.147938,5.19718
76,7.511396,4.16755,5.206986
77,7.491784,4.147938,5.187374
78,7.50159,4.147938,5.187374
79,7.531008,4.138132,5.206986
80,7.511396,4.138132,5.187374
81,7.521202,4.147938,5.177568
82,7.521202,4.147938,5.187374
83,7.511396,4.147938,5.187374
84,7.511396,4.147938,5.19718
85,7.511396,4.147938,5.19718
86,7.511396,4.157744,5.19718
87,7.511396,4.147938,5.187374
88,7.521202,4.138132,5.206986
89,7.511396,4.157744,5.187374
90,7.511396,4.128326,5.187374
91,7.540814,4.157744,5.187374
92,7.481978,4.128326,5.177568
93,7.521202,4.157744,5.19718
94,7.511396,4.157744,5.19718
95,7.491784,4.138132,5.177568
96,7.521202,4.138132,5.19718
97,7.540814,4.128326,5.206986
98,7.511396,4.138132,5.177568
99,7.531008,4.147938,5.187374
100,7.511396,4.147938,5.187374
101,7.511396,4.138132,5.19718
102,7.511396,4.147938,5.19718
103,7.511396,4.138132,5.19718
104,7.50159,4.147938,5.19718
105,7.521202,4.147938,5.187374
106,7.511396,4.128326,5.187374
107,7.511396,4.16755,5.187374
108,7.521202,4.138132,5.177568
109,7.540814,4.16755,5.206986
110,7.481978,4.108714,5.177568
111,7.531008,4.147938,5.206986
112,7.511396,4.157744,5.206986
113,7.50159,4.128326,5.187374
114,7.521202,4.138132,5.19718
115,7.531008,4.128326,5.19718
116,7.511396,4.138132,5.177568
117,7.531008,4.138132,5.187374
118,7.511396,4.147938,5.187374
119,7.511396,4.138132,5.19718
120,7.521202,4.138132,5.19718
121,7.50159,4.128326,5.187374
122,7.521202,4.147938,5.19718
123,7.511396,4.138132,5.187374
124,7.521202,4.128326,5.19718
125,7.50159,4.138132,5.19718
126,7.521202,4.138132,5.19718
127,7.531008,4.138132,5.187374
128,7.481978,4.128326,5.187374
129,7.531008,4.157744,5.206986
130,7.50159,4.157744,5.187374
131,7.491784,4.128326,5.187374
132,7.540814,4.128326,5.216792
133,7.531008,4.128326,5.187374
134,7.521202,4.138132,5.177568
135,7.521202,4.138132,5.19718
136,7.511396,4.138132,5.187374
137,7.511396,4.138132,5.187374
138,7.521202,4.138132,5.19718
139,7.50159,4.138132,5.19718
140,7.521202,4.138132,5.19718
141,7.521202,4.138132,5.19718
142,7.511396,4.157744,5.187374
143,7.511396,4.128326,5.19718
144,7.55062,4.16755,5.19718
145,7.511396,4.138132,5.177568
146,7.50159,4.138132,5.19718
147,7.50159,4.16755,5.206986
148,7.481978,4.147938,5.187374
149,7.511396,4.147938,5.187374
150,7.540814,4.138132,5.206986
151,7.50159,4.138132,5.167762
152,7.531008,4.157744,5.177568
153,7.511396,4.16755,5.187374
154,7.50159,4.157744,5.177568
155,7.511396,4.147938,5.187374
156,7.511396,4.157744,5.19718
157,7.50159,4.16755,5.177568
158,7.511396,4.157744,5.187374
159,7.50159,4.16755,5.177568
160,7.521202,4.147938,5.177568
161,7.531008,4.196968,5.167762
