,x,y,z
0,-9.825612,0.039224,0.500106
1,-9.815806,0.127478,0.529524
2,-9.806,0.04903,0.470688
3,-9.835418,0.137284,0.529524
4,-9.786388,0.088254,0.529524
5,-9.815806,0.078448,0.529524
6,-9.825612,0.09806,0.529524
7,-9.815806,0.117672,0.529524
8,-9.786388,0.137284,0.53933
9,-9.815806,0.058836,0.4903
10,-9.85503,0.137284,0.529524
11,-9.796194,0.09806,0.509912
12,-9.835418,0.117672,0.549136
13,-9.806,0.068642,0.500106
14,-9.835418,0.127478,0.53933
15,-9.815806,0.107866,0.53933
16,-9.806,0.068642,0.509912
17,-9.815806,0.09806,0.519718
18,-9.825612,0.09806,0.4903
19,-9.806,0.14709,0.53933
20,-9.796194,0.078448,0.519718
21,-9.85503,0.09806,0.549136
22,-9.806,0.127478,0.549136
23,-9.835418,0.09806,0.519718
24,-9.825612,0.078448,0.53933
25,-9.825612,0.078448,0.558942
26,-9.796194,0.04903,0.529524
27,-9.85503,0.09806,0.549136
28,-9.806,0.09806,0.529524
29,-9.825612,0.09806,0.558942
30,-9.806,0.09806,0.53933
31,-9.835418,0.088254,0.558942
32,-9.796194,0.078448,0.578554
33,-9.825612,0.019612,0.58836
34,-9.845224,0.029418,0.58836
35,-9.766776,0.068642,0.578554
36,-9.776582,0.058836,0.58836
37,-9.845224,-0.009806,0.568748
38,-9.815806,0.058836,0.627584
39,-9.806,0.137284,0.676614
40,-9.85503,-0.019612,0.568748
41,-9.786388,0.078448,0.647196
42,-9.786388,-0.04903,0.607972
43,-9.796194,0.029418,0.647196
44,-9.85503,-0.009806,0.519718
45,-9.766776,0.068642,0.755062
46,-9.845224,0,0.68642
47,-9.796194,0.058836,0.774674
48,-9.806,-0.009806,0.755062
49,-10.021732,-0.009806,0.676614
50,-9.806,-0.009806,0.774674
51,-9.776582,0,0.83351
52,-8.756758,1.019824,1.37284
53,-11.91429,0.647196,0.951182
54,-9.570656,0.333404,0.921764
55,-11.22787,0.725644,0.990406
56,-9.688328,0.519718,0.83351
57,-9.70794,0.24515,0.607972
58,-9.776582,0.58836,1.010018
59,-9.884448,0.843316,0.68642
60,-9.668716,-0.156896,0.941376
61,-9.551044,0.009806,0.813898
62,-9.776582,0.264762,1.059048
63,-9.864836,0.264762,1.22575
64,-9.815806,0.372628,1.676826
65,-9.894254,0.088254,1.441482
66,-9.884448,0.04903,1.363034
67,-9.600074,-0.019612,1.137496
68,-9.109774,0.078448,1.892558
69,-9.688328,0.078448,1.294392
70,-9.56085,0.068642,1.921976
71,-9.36473,0.451076,2.274992
72,-9.198028,-0.009806,2.216156
73,-9.296088,-0.009806,2.912382
74,-9.619686,-0.58836,2.735874
75,-9.354924,-0.019612,3.294816
76,-8.903848,0.009806,3.72628
77,-8.87443,-0.14709,3.638026
78,-9.148998,-0.303986,4.098908
79,-8.707728,-0.176508,4.677462
80,-8.227234,-0.186314,4.736298
81,-8.001696,-0.951182,5.599226
82,-7.884024,-0.353016,4.834358
83,-7.030902,-1.314004,5.991466
84,-6.197392,-2.176932,5.187374
85,-6.442542,-2.628008,5.609032
86,-5.971854,-2.480918,6.452348
87,-6.118944,-2.784904,5.98166
88,-5.157956,-3.412488,6.61905
89,-5.285434,-3.265398,7.295664
90,-4.098908,-3.706668,8.639086
91,-3.275204,-4.255804,7.668292
92,-3.177144,-4.383282,8.011502
93,-2.833934,-5.942436,12.2575
94,-2.343634,-10.090374,13.100816
95,-1.9612,-6.795558,7.805576
96,-1.314004,-5.98166,6.560214
97,-2.539754,-6.393512,6.197392
98,-2.15732,-5.265822,7.687904
99,-2.716262,-5.461942,8.393936
100,-3.167338,-5.962048,8.227234
101,-2.9418,-6.118944,7.511396
102,-2.20635,-6.011078,7.119156
103,-1.971006,-6.315064,6.96226
104,-2.25538,-6.658274,6.923036
105,-2.755486,-7.187798,6.972066
106,-2.4515,-6.874006,6.61905
107,-2.480918,-7.187798,6.501378
108,-2.814322,-6.972066,6.746528
109,-2.873158,-6.824976,6.648468
110,-2.716262,-6.923036,6.511184
111,-2.882964,-6.893618,6.47196
112,-2.873158,-6.844588,6.560214
113,-2.931994,-6.834782,6.560214
114,-2.765292,-6.746528,6.560214
115,-2.882964,-6.893618,6.560214
116,-2.84374,-6.8642,6.61905
117,-2.784904,-6.76614,6.628856
118,-2.716262,-6.785752,6.638662
119,-2.89277,-6.824976,6.628856
120,-2.902576,-6.775946,6.61905
121,-2.74568,-6.736722,6.677886
122,-2.79471,-6.707304,6.707304
123,-2.74568,-6.726916,6.736722
124,-2.755486,-6.697498,6.638662
125,-2.833934,-6.76614,6.707304
126,-2.79471,-6.677886,6.677886
127,-2.824128,-6.805364,6.677886
128,-2.804516,-6.736722,6.687692
129,-2.765292,-6.736722,6.677886
130,-2.716262,-6.687692,6.736722
131,-2.863352,-6.746528,6.71711
132,-2.814322,-6.775946,6.599438
133,-2.716262,-6.71711,6.61905
134,-2.853546,-6.726916,6.775946
135,-2.824128,-6.71711,6.71711
136,-2.833934,-6.677886,6.71711
137,-2.755486,-6.697498,6.71711
138,-2.833934,-6.746528,6.707304
139,-2.775098,-6.638662,6.736722
140,-2.824128,-6.726916,6.707304
141,-2.84374,-6.697498,6.707304
142,-2.804516,-6.756334,6.677886
143,-2.824128,-6.707304,6.746528
144,-2.726068,-6.707304,6.707304
145,-2.873158,-6.677886,6.71711
146,-2.775098,-6.677886,6.736722
147,-2.84374,-6.707304,6.707304
148,-2.755486,-6.677886,6.71711
149,-2.863352,-6.71711,6.726916
150,-2.755486,-6.66808,6.707304
151,-2.833934,-6.707304,6.736722
152,-2.765292,-6.707304,6.707304
153,-2.863352,-6.697498,6.707304
154,-2.79471,-6.658274,6.726916
155,-2.765292,-6.726916,6.697498
156,-2.833934,-6.66808,6.726916
157,-2.79471,-6.707304,6.726916
158,-2.804516,-6.677886,6.736722
159,-2.833934,-6.687692,6.71711
160,-2.824128,-6.66808,6.707304
161,-2.775098,-6.697498,6.71711
162,-2.79471,-6.687692,6.746528
163,-2.814322,-6.707304,6.736722
164,-2.804516,-6.687692,6.707304
165,-2.79471,-6.697498,6.746528
166,-2.853546,-6.687692,6.726916
167,-2.784904,-6.697498,6.697498
168,-2.84374,-6.697498,6.707304
169,-2.775098,-6.697498,6.736722
170,-2.814322,-6.687692,6.746528
171,-2.824128,-6.697498,6.736722
172,-2.84374,-6.638662,6.71711
173,-2.79471,-6.726916,6.756334
174,-2.882964,-6.677886,6.726916
175,-2.726068,-6.66808,6.746528
176,-2.824128,-6.726916,6.736722
177,-2.853546,-6.66808,6.71711
178,-2.775098,-6.697498,6.76614
179,-2.853546,-6.697498,6.71711
180,-2.824128,-6.687692,6.726916
181,-2.784904,-6.648468,6.746528
182,-2.853546,-6.687692,6.76614
183,-2.765292,-6.687692,6.707304
184,-2.804516,-6.697498,6.746528
185,-2.84374,-6.658274,6.775946
186,-2.833934,-6.66808,6.736722
187,-2.863352,-6.687692,6.736722
188,-2.833934,-6.658274,6.746528
189,-2.804516,-6.658274,6.746528
190,-2.79471,-6.658274,6.736722
191,-2.814322,-6.687692,6.746528
192,-2.824128,-6.648468,6.746528
193,-2.84374,-6.66808,6.746528
194,-2.79471,-6.658274,6.736722
195,-2.814322,-6.66808,6.746528
196,-2.824128,-6.658274,6.76614
197,-2.765292,-6.66808,6.736722
198,-2.833934,-6.648468,6.775946
199,-2.775098,-6.677886,6.746528
200,-2.84374,-6.658274,6.746528
201,-2.775098,-6.677886,6.736722
202,-2.84374,-6.638662,6.775946
203,-2.84374,-6.648468,6.736722
204,-2.814322,-6.687692,6.746528
