,x,y,z
0,-2.833934,1.71605,9.433372
1,-2.89277,1.71605,9.423566
2,-2.882964,1.725856,9.403954
3,-2.873158,1.735662,9.433372
4,-2.902576,1.71605,9.41376
5,-2.902576,1.725856,9.41376
6,-2.902576,1.725856,9.403954
7,-2.882964,1.725856,9.423566
8,-2.902576,1.735662,9.41376
9,-2.882964,1.735662,9.394148
10,-2.902576,1.71605,9.423566
11,-2.882964,1.745468,9.443178
12,-2.902576,1.725856,9.384342
13,-2.902576,1.725856,9.394148
14,-2.912382,1.735662,9.433372
15,-2.873158,1.735662,9.423566
16,-2.863352,1.706244,9.41376
17,-2.902576,1.71605,9.394148
18,-2.912382,1.774886,9.394148
19,-2.89277,1.755274,9.403954
20,-2.882964,1.696438,9.433372
21,-2.89277,1.676826,9.403954
22,-2.882964,1.725856,9.423566
23,-2.89277,1.745468,9.41376
24,-2.863352,1.706244,9.41376
25,-2.873158,1.696438,9.41376
26,-2.89277,1.71605,9.423566
27,-2.89277,1.735662,9.443178
28,-2.882964,1.725856,9.394148
29,-2.882964,1.71605,9.403954
30,-2.89277,1.725856,9.443178
31,-2.853546,1.706244,9.423566
32,-2.863352,1.696438,9.423566
33,-2.873158,1.686632,9.433372
34,-2.853546,1.71605,9.423566
35,-2.882964,1.725856,9.433372
36,-2.863352,1.71605,9.433372
37,-2.873158,1.725856,9.41376
38,-2.873158,1.706244,9.423566
39,-2.873158,1.71605,9.433372
40,-2.84374,1.725856,9.423566
41,-2.863352,1.71605,9.423566
42,-2.873158,1.725856,9.41376
43,-2.853546,1.706244,9.433372
44,-2.863352,1.706244,9.433372
45,-2.833934,1.725856,9.433372
46,-2.863352,1.706244,9.403954
47,-2.863352,1.696438,9.423566
48,-2.863352,1.725856,9.41376
49,-2.863352,1.71605,9.423566
50,-2.833934,1.696438,9.423566
51,-2.853546,1.725856,9.443178
52,-2.863352,1.71605,9.41376
53,-2.863352,1.725856,9.443178
54,-2.824128,1.706244,9.41376
55,-2.863352,1.71605,9.433372
56,-2.84374,1.706244,9.433372
57,-2.84374,1.706244,9.41376
58,-2.74568,1.755274,9.394148
59,-2.667232,1.774886,9.354924
60,-2.775098,1.755274,9.472596
61,-2.922188,2.000424,9.3157
62,-2.726068,1.549348,9.639298
63,-1.9612,1.343422,8.913654
64,-3.598802,0.411852,9.345118
65,-2.951606,2.01023,9.570656
66,-2.373052,0.88254,9.698134
67,-2.804516,1.56896,9.698134
68,-2.088678,1.510124,9.629492
69,-2.431888,0.921764,9.374536
70,-2.4515,1.441482,9.178416
71,-3.000636,0.892346,9.403954
72,-2.59859,1.235556,10.24727
73,-1.81411,0.647196,11.365154
74,-5.863988,1.196332,10.766988
75,-1.284586,4.814746,11.66914
76,-1.794498,6.17778,11.169034
77,-2.569172,5.677674,11.070974
78,-2.029842,7.148574,10.217852
79,-2.05926,6.736722,8.119368
80,-2.363246,6.364094,7.59965
81,-1.892558,6.138556,5.550196
82,-2.039648,6.481766,4.295028
83,-1.784692,6.07972,2.912382
84,-0.745256,6.775946,3.03986
85,-0.666808,6.746528,2.294604
86,-1.755274,7.736934,3.736086
87,-3.48113,8.472384,2.618202
88,-2.784904,8.070338,3.598802
89,-2.343634,8.864624,2.167126
90,-2.618202,9.502014,3.03986
91,-2.176932,8.688116,1.264974
92,-2.245574,9.492208,3.069278
93,-1.745468,9.41376,1.853334
94,-2.20635,9.46279,3.216368
95,-2.578978,9.158804,2.314216
96,-2.274992,9.227446,3.118308
97,-2.559366,9.21764,2.814322
98,-2.147514,9.109774,2.824128
99,-2.284798,9.286282,2.882964
100,-2.078872,9.16861,2.971218
101,-2.245574,9.21764,2.84374
102,-2.245574,9.099968,2.863352
103,-2.422082,8.943072,3.265398
104,-2.333828,9.345118,2.677038
105,-2.088678,9.080356,3.098696
106,-2.137708,9.305894,2.755486
107,-2.10829,9.158804,2.99083
108,-2.461306,9.129386,2.863352
109,-2.20635,9.227446,2.853546
110,-2.274992,9.16861,2.74568
111,-2.245574,9.188222,2.853546
112,-2.216156,9.198028,2.931994
113,-2.324022,9.207834,2.775098
114,-2.284798,9.188222,2.9418
115,-2.274992,9.188222,2.814322
116,-2.324022,9.148998,2.922188
117,-2.363246,9.188222,2.873158
118,-2.147514,9.227446,2.922188
119,-2.314216,9.16861,2.814322
120,-2.216156,9.188222,2.922188
121,-2.373052,9.188222,2.853546
122,-2.25538,9.188222,2.912382
123,-2.176932,9.207834,2.912382
124,-2.382858,9.178416,2.833934
125,-2.25538,9.16861,2.853546
126,-2.333828,9.158804,2.853546
127,-2.265186,9.207834,2.853546
128,-2.216156,9.21764,2.951606
129,-2.294604,9.188222,2.775098
130,-2.274992,9.21764,2.833934
131,-2.284798,9.148998,2.89277
132,-2.314216,9.21764,2.804516
133,-2.343634,9.129386,2.9418
134,-2.363246,9.148998,2.833934
135,-2.25538,9.207834,2.873158
136,-2.294604,9.188222,2.84374
137,-2.25538,9.207834,2.853546
138,-2.35344,9.16861,2.863352
139,-2.216156,9.21764,2.804516
140,-2.294604,9.188222,2.912382
141,-2.265186,9.21764,2.775098
142,-2.265186,9.227446,2.814322
143,-2.274992,9.188222,2.833934
144,-2.196544,9.21764,2.784904
145,-2.324022,9.207834,2.765292
146,-2.235768,9.227446,2.833934
147,-2.265186,9.207834,2.824128
148,-2.294604,9.178416,2.882964
149,-2.324022,9.188222,2.824128
150,-2.324022,9.16861,2.84374
151,-2.265186,9.16861,2.873158
152,-2.324022,9.188222,2.84374
153,-2.265186,9.227446,2.804516
154,-2.333828,9.178416,2.824128
155,-2.265186,9.188222,2.833934
156,-2.333828,9.237252,2.79471
157,-2.25538,9.188222,2.833934
158,-2.245574,9.237252,2.824128
159,-2.196544,9.247058,2.804516
160,-2.20635,9.237252,2.79471
161,-2.284798,9.207834,2.824128
162,-2.274992,9.21764,2.814322
163,-2.25538,9.198028,2.89277
164,-2.245574,9.207834,2.755486
165,-2.30441,9.207834,2.833934
166,-2.20635,9.178416,2.882964
167,-2.30441,9.227446,2.784904
168,-2.196544,9.207834,2.853546
169,-2.294604,9.21764,2.755486
170,-2.235768,9.237252,2.853546
171,-2.35344,9.158804,2.84374
172,-2.25538,9.237252,2.775098
173,-2.30441,9.188222,2.84374
174,-2.274992,9.227446,2.84374
175,-2.30441,9.16861,2.863352
176,-2.225962,9.198028,2.853546
177,-2.265186,9.16861,2.902576
