,x,y,z
0,-9.806,0.88254,0.186314
1,-9.75697,0.892346,0.156896
2,-9.796194,0.951182,0.137284
3,-9.688328,0.951182,0.166702
4,-9.85503,0.813898,0.362822
5,-9.825612,0.745256,0.313792
6,-9.727552,0.843316,0.29418
7,-9.747164,0.872734,0.078448
8,-9.815806,0.911958,0.215732
9,-9.737358,0.990406,0.24515
10,-9.806,0.941376,0.225538
11,-9.806,0.794286,0.254956
12,-9.75697,0.774674,0.24515
13,-9.776582,0.764868,0.254956
14,-9.806,0.813898,0.34321
15,-9.786388,0.83351,0.29418
16,-9.786388,0.804092,0.274568
17,-9.766776,0.764868,0.353016
18,-9.806,0.745256,0.29418
19,-9.776582,0.774674,0.34321
20,-9.786388,0.764868,0.333404
21,-9.825612,0.745256,0.362822
22,-9.806,0.676614,0.353016
23,-9.864836,0.813898,0.323598
24,-9.639298,0.794286,0.362822
25,-9.65891,0.715838,0.509912
26,-10.315912,0.676614,-0.186314
27,-9.85503,0.872734,0.313792
28,-9.835418,1.039436,0.519718
29,-9.845224,1.098272,0.745256
30,-9.737358,1.206138,0.627584
31,-9.737358,0.9806,0.666808
32,-9.815806,0.951182,0.853122
33,-9.639298,0.823704,0.843316
34,-9.678522,0.568748,0.843316
35,-9.600074,0.549136,0.804092
36,-9.698134,0.460882,0.794286
37,-9.717746,0.303986,0.715838
38,-9.698134,0.353016,0.500106
39,-9.786388,0.607972,0.480494
40,-9.590268,0.804092,0.078448
41,-9.796194,-0.04903,0.264762
42,-10.041344,-0.451076,0.225538
43,-10.159016,-0.706032,-0.04903
44,-10.00212,-0.53933,-0.137284
45,-9.766776,0.402046,0
46,-9.472596,1.02963,-0.205926
47,-9.472596,0.676614,0.451076
48,-10.021732,-0.872734,-0.500106
49,-10.090374,-1.000212,-0.254956
50,-9.492208,-1.12769,-0.215732
51,-9.629492,0.04903,-0.068642
52,-9.541238,0.068642,0.372628
53,-9.207834,-0.372628,0.107866
54,-9.923672,-0.44127,-0.068642
55,-9.825612,-0.107866,-0.19612
56,-10.080568,-0.019612,-0.29418
57,-10.727764,0.058836,-0.460882
58,-10.757182,-0.774674,-0.568748
59,-10.816018,-0.902152,-0.009806
60,-11.502438,1.049242,-0.73545
61,-11.747588,1.22575,-0.480494
62,-9.766776,2.039648,0.813898
63,-9.060744,2.20635,1.588572
64,-9.962896,2.225962,0.951182
65,-11.208258,1.657214,1.186526
66,-10.423778,0.568748,1.931782
67,-9.247058,-0.009806,1.843528
68,-8.452772,-0.460882,1.157108
69,-7.315276,0.205926,1.9612
70,-6.040496,-1.039436,1.51993
71,-5.54039,-1.853334,2.098484
72,-7.511396,-2.069066,4.569596
73,-12.50265,-2.618202,4.765716
74,-12.286918,-3.157532,4.834358
75,-5.481554,-2.069066,5.157956
76,-14.061804,2.755486,1.07866
77,-9.913866,1.186526,-1.098272
78,-5.599226,0.480494,-0.137284
79,-9.26667,-1.392452,-0.24515
80,-11.32593,1.314004,2.363246
81,-9.001908,1.304198,0.137284
82,-9.354924,-0.63739,-0.009806
83,-9.835418,-0.186314,0.215732
84,-9.933478,0.068642,-0.215732
85,-9.354924,0.451076,0.274568
86,-8.894042,0.93157,0.068642
87,-10.845436,0.127478,0.088254
88,-11.296512,-1.196332,-0.44127
89,-12.610516,-0.970794,0.088254
90,-12.757606,-2.049454,0.04903
91,-10.44339,-0.274568,-0.24515
92,-10.561062,1.657214,0.411852
93,-12.080992,3.951818,1.71605
94,-8.668504,3.216368,2.176932
95,-9.07055,-0.421658,0.745256
96,-7.933054,-0.078448,1.02963
97,-8.158592,-2.431888,0.941376
98,-6.138556,0.068642,0.774674
99,-6.305258,0.666808,2.64762
100,-9.845224,-1.735662,4.491148
101,-12.679158,-3.912594,5.14815
102,-9.384342,-4.471536,3.814534
103,-6.687692,-1.931782,2.431888
104,-11.335736,1.549348,-0.970794
105,-18.660818,1.892558,5.216792
106,-6.47196,-0.04903,-3.08889
107,-6.197392,-0.529524,-1.304198
108,-9.325506,0.843316,-0.323598
109,-10.59048,0.137284,4.51076
110,-9.913866,-0.93157,1.81411
111,-9.237252,-0.941376,0.9806
112,-9.286282,0.166702,-0.088254
113,-9.129386,0.382434,-0.93157
114,-10.384554,0,0.500106
115,-10.757182,-0.078448,1.71605
116,-12.777218,-2.441694,0.431464
117,-12.963532,-0.509912,0.382434
118,-9.796194,1.166914,0.205926
119,-10.355136,1.42187,0.274568
120,-11.953514,2.15732,1.382646
121,-9.325506,3.010442,2.069066
122,-8.550832,-0.24515,0.804092
123,-9.570656,0.04903,1.500318
124,-8.43316,-0.107866,0.892346
125,-6.824976,0.254956,1.725856
126,-7.119156,0.431464,2.4515
127,-8.050726,-1.166914,3.687056
128,-10.521838,-1.774886,3.265398
129,-12.130022,-3.28501,5.913018
130,-6.71711,-5.256016,1.892558
131,-10.521838,-0.029418,-0.088254
132,-16.444662,3.157532,6.3739
133,-7.59965,2.480918,-0.9806
134,-7.236828,-0.88254,-0.88254
135,-9.492208,0.813898,-1.412064
136,-9.806,1.059048,1.608184
137,-9.36473,-0.176508,0.088254
138,-9.600074,-1.314004,0.617778
139,-9.325506,0.156896,-0.088254
140,-9.943284,-0.068642,-0.215732
141,-10.68854,-0.137284,0.549136
142,-10.227658,-0.509912,-1.91217
143,-11.806424,-2.186738,0.44127
144,-12.267306,0.186314,0.745256
145,-9.325506,0.774674,1.117884
146,-12.394784,1.921976,0.68642
147,-11.924096,4.46173,2.461306
148,-8.315488,1.745468,2.363246
149,-8.511608,-1.412064,0.951182
150,-8.472384,-1.264974,1.32381
151,-7.021096,-0.549136,1.264974
152,-4.75591,1.56896,1.892558
153,-5.873794,-0.029418,3.716474
154,-11.894678,-4.138132,4.814746
155,-14.454044,-4.863776,5.040284
156,-7.383918,-4.500954,3.706668
157,-13.953938,3.82434,0.372628
158,-13.620534,5.09912,0.706032
159,-6.364094,1.676826,-2.137708
160,-6.432736,-0.706032,-0.34321
161,-10.413972,0.372628,1.304198
162,-10.364942,0.647196,1.245362
163,-9.325506,-0.715838,-0.215732
164,-9.198028,-0.186314,-0.353016
165,-9.36473,0.382434,0.225538
166,-10.482614,-0.205926,0.951182
167,-11.061168,-0.09806,-1.42187
168,-11.296512,-2.225962,0.235344
169,-12.836054,0.127478,0
170,-10.031538,0.578554,0.402046
171,-13.649952,2.069066,0.421658
172,-13.43422,4.21658,2.30441
173,-7.69771,1.12769,1.56896
174,-7.570232,-1.255168,1.039436
175,-8.050726,-0.804092,1.264974
176,-6.736722,-1.157108,0.480494
177,-4.687268,0.93157,1.22575
178,-8.413548,-1.872946,3.755698
179,-12.090798,-3.255592,5.19718
180,-11.070974,-5.68748,3.373264
181,-10.041344,-1.294392,0.990406
182,-15.973974,4.95203,0.529524
183,-7.89383,0.500106,-3.13792
184,-6.138556,0.078448,-1.314004
185,-9.51182,0.039224,-2.01023
186,-10.384554,0.960988,1.510124
187,-9.913866,-0.951182,0.411852
188,-9.129386,-0.274568,-0.215732
189,-9.345118,0.431464,0.107866
190,-9.60988,0.39224,0.186314
191,-10.482614,0.451076,0.519718
192,-10.208046,-1.039436,-0.480494
193,-10.286494,-2.412276,-0.706032
194,-11.659334,-0.715838,0.706032
195,-10.717958,0.794286,1.147302
196,-11.933902,2.84374,2.902576
197,-13.071398,5.167762,2.686844
198,-8.619474,0.911958,1.02963
199,-8.217428,1.833722,2.412276
200,-7.834994,0.04903,1.823916
201,-7.79577,-0.088254,1.166914
202,-6.52099,1.294392,2.706456
203,-7.295664,1.91217,3.294816
204,-9.766776,0.166702,1.235556
205,-11.08078,-6.138556,1.402258
206,-11.708364,-10.208046,0.88254
207,-11.737782,0.156896,0.93157
208,-15.54251,7.138768,2.931994
209,-7.491784,3.4321,-2.853546
210,-7.64868,-0.755062,-0.421658
211,-10.139404,-0.78448,-0.205926
212,-10.463002,0.235344,-1.010018
213,-10.090374,0,-0.804092
214,-9.619686,-0.970794,-0.68642
215,-9.51182,-1.402258,-1.215944
216,-10.276688,-1.921976,-0.421658
217,-10.05115,-0.88254,0.607972
218,-9.619686,-0.107866,0.93157
219,-9.884448,0.313792,-0.068642
220,-9.688328,0.83351,-0.235344
221,-12.79683,1.314004,0.73545
222,-14.522686,1.608184,1.882752
223,-12.434008,3.245786,3.13792
224,-7.491784,-1.696438,-0.568748
225,-8.58025,-1.32381,1.42187
226,-7.609456,-1.794498,2.628008
227,-5.98166,-2.961412,1.382646
228,-3.942012,-3.373264,2.167126
229,-5.971854,-3.942012,1.804304
230,-7.25644,-5.265822,3.883176
231,-9.992314,-6.364094,3.853758
232,-9.46279,-3.57919,3.77531
233,-9.874642,-4.245998,5.775734
234,-15.973974,3.77531,1.51993
235,-12.40459,3.500742,2.765292
236,-5.648256,1.76508,-0.921764
237,-7.79577,-0.323598,-1.706244
238,-9.394148,-0.353016,-0.166702
239,-9.374536,1.068854,0.755062
